GeneMasterName,GeneFullName,ClinVarGene ID,Location,Chromosome,ChromosomeArm,NumExons,NumBases,NumAminoAcids,GeneType,Mechanism,Pathway,PathwayGraphic,VariantLevelRisk,GraphicGene,GraphicProtein,GeneInteraction,urlGenecards,urlGenereviews,urlOMIM,RefSeqID1,RefSeqID2,Childhood,RecessiveConditionAlso,Preimplant_PrenatalDx,In_Ask2meWebsite,MedNeon,In_Invitae84,Ambry,Myriad_MyRisk,Geisinger,ACMG,ACMG_3_Dec2021,Helix,Completed,Inheritance,Check,DiseaseTypeMaster,SPANISH_GeneType,CHINESE_GeneType,SPANISH_Mechanism,CHINESE_Mechanism,PreImplantationTesting,NCCN_GuidelinesDec2021,Notes
RET,Ret Proto-Oncogene,5979,10q11.21,10,Q,20,53325,1114,Protein Coding,"This gene encodes a transmembrane receptor and member of the tyrosine protein kinase family of proteins. Binding of ligands such as GDNF (glial cell-line derived neurotrophic factor) and other related proteins to the encoded receptor stimulates receptor dimerization and activation of downstream signaling pathways that play a role in cell differentiation, growth, migration and survival. The encoded receptor is important in development of the nervous system, and the development of organs and tissues derived from the neural crest. This proto-oncogene can undergo oncogenic activation through both cytogenetic rearrangement and activating point mutations. Mutations in this gene are associated with Hirschsprung disease and central hypoventilation syndrome and have been identified in patients with renal agenesis. [provided by RefSeq, Sep 2017]",,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=RET#,#https://www.ncbi.nlm.nih.gov/gene/5979#,#http://www.omim.org/entry/164761#,NM_020975,,1,,,,,1,1,,1,1,1,,1,Mono,UpdateWebsite,Cancer,,,,,,1,
RINT1,RAD50 Interactor 1,60561,7q22.3,7,Q,,35604,792,Protein Coding,"This gene encodes a protein first identified for its ability to interact with the RAD50 double strand break repair protein, with the resulting interaction implicated in the regulation of cell cycle progression and telomere length. The encoded protein may also play a role in trafficking of cellular cargo from the endosome to the trans-Golgi network. Mutations in this gene may be associated with breast cancer in human patients. [provided by RefSeq, Oct 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RINT1&keywords=Rint1#summaries,,https://omim.org/entry/610089?search=rint1&highlight=rint1,,,,,,,,,1,,,,,,,Mono,,Cancer,,,,,,9,
RPL11,Ribosomal Protein L11,6135,1p36.11,1,,6,5094,178,,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L5P family of ribosomal proteins. It is located in the cytoplasm. The protein probably associates with the 5S rRNA. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Dec 2010]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL11&keywords=Rpl11#summaries,,https://omim.org/entry/604175?search=rpl11&highlight=rpl11#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
PTCSC3, papillary thyroid carcinoma susceptibility candidate 3,100886964,14q13.3,14,Q,4,"47,204",,ncRNA,"PTCSC3 (Papillary Thyroid Carcinoma Susceptibility Candidate 3) is an RNA Gene, and is affiliated with the lncRNA class",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC3&keywords=PTCSC3,https://www.ncbi.nlm.nih.gov/gene/100886964,https://omim.org/entry/614821?search=ptcsc3&highlight=ptcsc3,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
PTCSC1, papillary thyroid carcinoma susceptibility candidate 1,100302522,8q24,8,Q,1,"2,809",,ncRNA,"Long noncoding RNAs, such as PTCSC1, have over 200 nucleotides and play major roles in gene regulation. PTCSC1 functions as a critical scaffold for proteins involved in cell signaling",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC1&keywords=PTCSC1,https://www.ncbi.nlm.nih.gov/gene/?term=PTCSC1,https://omim.org/entry/617440?search=ptcsc1&highlight=ptcsc1,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
AIP,Aryl Hydrocarbon Receptor Interacting Protein,9049,11q13.2,11,Q,6,"22,930",330,protein coding,"The protein encoded by this gene is a receptor for aryl hydrocarbons and a ligand-activated transcription factor. The encoded protein is found in the cytoplasm as part of a multiprotein complex, but upon binding of ligand is transported to the nucleus. This protein can regulate the expression of many xenobiotic metabolizing enzymes. Also, the encoded protein can bind specifically to and inhibit the activity of hepatitis B virus. Three transcript variants encoding different isoforms have been found for this gene. AIP encodes a protein that binds and stabilizes the AHR in the cytoplasm, and helps to regulate its subcellular localization.",,,,,,"STAT4, PTGES3, AHR, HSP90AA1, HSP90AB1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIP&keywords=AIP#aliases_descriptions,,https://omim.org/entry/605555?search=AIP&highlight=aip,,,1,,,,1,1,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
ALK,Anaplastic Lymphoma Receptor Tyrosine Kinase,238,2p23.2-23.1,2,P,29,730598,1652,protein coding,"This gene encodes a receptor tyrosine kinase, which belongs to the insulin receptor superfamily. This protein comprises an extracellular domain, an hydrophobic stretch corresponding to a single pass transmembrane region, and an intracellular kinase domain. It plays an important role in the development of the brain and exerts its effects on specific neurons in the nervous system.. The chromosomal rearrangements are the most common genetic alterations in this gene, which result in creation of multiple fusion genes in tumourigenesis, including ALK (chromosome 2)/EML4 (chromosome 2), ALK/RANBP2 (chromosome 2), ALK/ATIC (chromosome 2), ALK/TFG (chromosome 3), ALK/NPM1 (chromosome 5), ALK/SQSTM1 (chromosome 5), ALK/KIF5B (chromosome 10), ALK/CLTC (chromosome 17), ALK/TPM4 (chromosome 19), and ALK/MSN (chromosome X).[provided by RefSeq, Jan 2011] ALK encodes a tyrosine kinase receptor which plays a role in brain development.",,,,,,"PIK3CA, JAK3, PLCHG1, EML4, ERS3, TNFRSF8",,,,,,1,,,,1,1,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
AR,Androgen receptor,367,Xq12 ,66,Q,,"186599, 186588",920,,"The androgen receptor gene is more than 90 kb long and codes for a protein that has 3 major functional domains: the N-terminal domain, DNA-binding domain, and androgen-binding domain. The protein functions as a steroid-hormone activated transcription factor. Upon binding the hormone ligand, the receptor dissociates from accessory proteins, translocates into the nucleus, dimerizes, and then stimulates transcription of androgen responsive genes. This gene contains 2 polymorphic trinucleotide repeat segments that encode polyglutamine and polyglycine tracts in the N-terminal transactivation domain of its protein. Expansion of the polyglutamine tract from the normal 9-34 repeats to the pathogenic 38-62 repeats causes spinal bulbar muscular atrophy (SBMA, also known as Kennedy's disease). Mutations in this gene are also associated with complete androgen insensitivity (CAIS). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2017]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR&keywords=AR#summaries,,https://omim.org/entry/313700?search=AR&highlight=ar#description,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
ATR,ATR Serine/Tnreonine Kinase,545,3q23,,Q,,"129787, 129592",2644,,"The protein encoded by this gene is a serine/threonine kinase and DNA damage sensor, activating cell cycle checkpoint signaling upon DNA stress. The encoded protein can phosphorylate and activate several proteins involved in the inhibition of DNA replication and mitosis, and can promote DNA repair, recombination, and apoptosis. This protein is also important for fragile site stability and centrosome duplication. Defects in this gene are a cause of Seckel syndrome 1. [provided by RefSeq, Aug 2017]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR&keywords=ATR#pathways_interactions,,https://omim.org/entry/601215?search=ATR&highlight=atr#description,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,1,
BCS1L,"BCS1 Homolog, Ubiquinol-Cytochrome C Reductase Complex Chaperone",617,2q35 ,2,Q,7,4680,,,"This gene encodes a homolog of the S. cerevisiae bcs1 protein which is involved in the assembly of complex III of the mitochondrial respiratory chain. The encoded protein does not contain a mitochondrial targeting sequence but experimental studies confirm that it is imported into mitochondria. Mutations in this gene are associated with mitochondrial complex III deficiency and the GRACILE syndrome. Several alternatively spliced transcripts encoding two different isoforms have been described. [provided by RefSeq, Jan 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCS1L&keywords=BCS1L#summaries,,https://omim.org/entry/603647?search=BCS1L&highlight=bcs1l#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
ERCC4,"ERCC Excision Repair 4, Endonuclease Catalytic Subunit",2072,16p13.12,16,,11,32212,916,protein encoding,"The protein encoded by this gene forms a complex with ERCC1 and is involved in the 5' incision made during nucleotide excision repair. This complex is a structure specific DNA repair endonuclease that interacts with EME1. Defects in this gene are a cause of xeroderma pigmentosum complementation group F (XP-F), or xeroderma pigmentosum VI (XP6).[provided by RefSeq, Mar 2009]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC4&keywords=ercc4#summaries,,https://omim.org/entry/133520?search=ercc4&highlight=ercc4#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
ERCC5,"ERCC Excision Repair 5, Endonuclease",2073,13q33.1,13,,15,68856,1186,protein coding,"his gene encodes a single-strand specific DNA endonuclease that makes the 3' incision in DNA excision repair following UV-induced damage. The protein may also function in other cellular processes, including RNA polymerase II transcription, and transcription-coupled DNA repair. Mutations in this gene cause xeroderma pigmentosum complementation group G (XP-G), which is also referred to as xeroderma pigmentosum VII (XP7), a skin disorder characterized by hypersensitivity to UV light and increased susceptibility for skin cancer development following UV exposure. Some patients also develop Cockayne syndrome, which is characterized by severe growth defects, cognitive disability, and cachexia. Read-through transcription exists between this gene and the neighboring upstream BIVM (basic, immunoglobulin-like variable motif containing) gene. [provided by RefSeq, Feb 2011]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC5&keywords=ercc5#summaries,,https://omim.org/entry/133530?search=ercc5&highlight=ercc5#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
ETV6,ETS Variant Transcription Factor 6,2120,12p13.2,12,,8,245786,452,protein coding,"This gene encodes an ETS family transcription factor. The product of this gene contains two functional domains: a N-terminal pointed (PNT) domain that is involved in protein-protein interactions with itself and other proteins, and a C-terminal DNA-binding domain. Gene knockout studies in mice suggest that it is required for hematopoiesis and maintenance of the developing vascular network. This gene is known to be involved in a large number of chromosomal rearrangements associated with leukemia and congenital fibrosarcoma. [provided by RefSeq, Sep 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV6&keywords=etv6#summaries,,https://omim.org/entry/600618?search=etv6&highlight=etv6#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
EXT1,Exostosin Glycosyltransferase ,2131,8q24.11,8,,11,317337,746,protein encoding,"This gene encodes an endoplasmic reticulum-resident type II transmembrane glycosyltransferase involved in the chain elongation step of heparan sulfate biosynthesis. Mutations in this gene cause the type I form of multiple exostoses. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT1&keywords=ext1#genomic_location,,https://omim.org/entry/608177?search=ext1&highlight=ext1#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
EXT2,Exostosin Glycosyltransferase 2,2132,11p11.2,11,,14,156233,718,protein coding,"This gene encodes one of two glycosyltransferases involved in the chain elongation step of heparan sulfate biosynthesis. Mutations in this gene cause the type II form of multiple exostoses. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT2&keywords=ext2#summarie,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,2146,7q36.1,7,,20,76971,746,protein coding,"This gene encodes a member of the Polycomb-group (PcG) family. PcG family members form multimeric protein complexes, which are involved in maintaining the transcriptional repressive state of genes over successive cell generations. This protein associates with the embryonic ectoderm development protein, the VAV1 oncoprotein, and the X-linked nuclear protein. This protein may play a role in the hematopoietic and central nervous systems. Multiple alternatively splcied transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Feb 2011]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2&keywords=ezh2#summaries,,https://omim.org/entry/601573?search=ezh2&highlight=ezh2#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FAH,Fumarylacetoacetate Hydrolase,2184,15q25.1,15,,,34460,419,protein coding,"his gene encodes the last enzyme in the tyrosine catabolism pathway. FAH deficiency is associated with Type 1 hereditary tyrosinemia (HT). [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAH&keywords=fah#summaries,,https://omim.org/entry/613871?search=fah&highlight=fah,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
NHP2,NHP2 Ribonucleoprotein,4771,22q12.2,22,Q,19,95045,595,,,,,,,,,#http://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2#,#https://www.ncbi.nlm.nih.gov/gene/4771#,#http://www.omim.org/entry/607379#,NM_000268,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
NOP10,NK2 homeobox 1,7080,14q13.3,14,Q,3,"4,758 ",371,protein coding,This gene encodes a protein initially identified as a thyroid-specific transcription factor. The encoded protein binds to the thyroglobulin promoter and regulates the expression of thyroid-specific genes but has also been shown to regulate the expression of genes involved in morphogenesis. ,,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1&keywords=NKX2-1,https://www.ncbi.nlm.nih.gov/gene/7080,https://omim.org/entry/600635?search=NKX2-1&highlight=nkx2-1,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
NTRK1,Neurotrophic Receptor Tyrosine Kinase 1,4914,1q22.3,1,,17,66211,796,,"This gene encodes a member of the neurotrophic tyrosine kinase receptor (NTKR) family. This kinase is a membrane-bound receptor that, upon neurotrophin binding, phosphorylates itself and members of the MAPK pathway. The presence of this kinase leads to cell differentiation and may play a role in specifying sensory neuron subtypes. Mutations in this gene have been associated with congenital insensitivity to pain, anhidrosis, self-mutilating behavior, cognitive disability and cancer. Alternate transcriptional splice variants of this gene have been found, but only three have been characterized to date. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1&keywords=ntrk1#summaries,,https://omim.org/entry/191315?search=ntrk1&highlight=ntrk1,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
PARK2,"Parkinson Disease 2, Autosomal Recessive Juvinile",,6q26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,255738,1p32.3,1,,12,25407,692,,"This gene encodes a member of the subtilisin-like proprotein convertase family, which includes proteases that process protein and peptide precursors trafficking through regulated or constitutive branches of the secretory pathway. The encoded protein undergoes an autocatalytic processing event with its prosegment in the ER and is constitutively secreted as an inactive protease into the extracellular matrix and trans-Golgi network. It is expressed in liver, intestine and kidney tissues and escorts specific receptors for lysosomal degradation. It plays a role in cholesterol and fatty acid metabolism. Mutations in this gene have been associated with autosomal dominant familial hypercholesterolemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2014]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9&keywords=pcsk9#summaries,,https://omim.org/entry/607786?search=pcsk9&highlight=pcsk9#geneStructure,,,,,,,,,,,,1,1,,,Mono,,Benign,,,,,,,
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",5290,3q26.32,3,,,91980,1068,,"Phosphatidylinositol 3-kinase is composed of an 85 kDa regulatory subunit and a 110 kDa catalytic subunit. The protein encoded by this gene represents the catalytic subunit, which uses ATP to phosphorylate PtdIns, PtdIns4P and PtdIns(4,5)P2. This gene has been found to be oncogenic and has been implicated in cervical cancers. A pseudogene of this gene has been defined on chromosome 22. [provided by RefSeq, Apr 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA&keywords=pikc3a#summaries,,https://omim.org/entry/171834?search=pik3ca&highlight=pik3ca,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
PKP2,Plakophilin 2,5318,12p11.21,12,P,,106103,881,,"This gene encodes a member of the arm-repeat (armadillo) and plakophilin gene families. Plakophilin proteins contain numerous armadillo repeats, localize to cell desmosomes and nuclei, and participate in linking cadherins to intermediate filaments in the cytoskeleton. This gene product may regulate the signaling activity of beta-catenin. Two alternately spliced transcripts encoding two protein isoforms have been identified. A processed pseudogene with high similarity to this locus has been mapped to chromosome 12p13. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP2&keywords=pkp2#summaries,,https://omim.org/entry/602861?search=pkp2&highlight=pkp2,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
PLN,Phospholamban,5350,6q22.31,6,,,13421,52,,"The protein encoded by this gene is found as a pentamer and is a major substrate for the cAMP-dependent protein kinase in cardiac muscle. The encoded protein is an inhibitor of cardiac muscle sarcoplasmic reticulum Ca(2+)-ATPase in the unphosphorylated state, but inhibition is relieved upon phosphorylation of the protein. The subsequent activation of the Ca(2+) pump leads to enhanced muscle relaxation rates, thereby contributing to the inotropic response elicited in heart by beta-agonists. The encoded protein is a key regulator of cardiac diastolic function. Mutations in this gene are a cause of inherited human dilated cardiomyopathy with refractory congestive heart failure, and also familial hypertrophic cardiomyopathy. [provided by RefSeq, Apr 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLN&keywords=pln#summaries,,https://omim.org/entry/172405?search=pln&highlight=pln#geneStructure,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
RPL26,Ribosomal Protein L2,6154,17p13.1,17,,,5698,145,,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L24P family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. Mutations in this gene result in Diamond-Blackfan anemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL26&keywords=Rpl26#summaries,,https://omim.org/entry/603704?search=rpl26&highlight=rpl26,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPL35A,Ribosomal Protein L35a,6165,3q29,3,,6,6421,110,,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L35AE family of ribosomal proteins. It is located in the cytoplasm. The rat protein has been shown to bind to both initiator and elongator tRNAs, and thus, it is located at the P site, or P and A sites, of the ribosome. Although this gene was originally mapped to chromosome 18, it has been established that it is located at 3q29-qter. Alternative splicing results in multiple transcript variants. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Oct 2015]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL35A&keywords=Rpl35a#summaries,,https://omim.org/entry/180468?search=rpl35a&highlight=rpl35a#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPL5,Ribosomal Protein L5,6125,1p22.1,1,,,9939,297,,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of four RNA species and approximately 80 structurally distinct proteins. This gene encodes a member of the L18P family of ribosomal proteins and component of the 60S subunit. The encoded protein binds 5S rRNA to form a stable complex called the 5S ribonucleoprotein particle (RNP), which is necessary for the transport of nonribosome-associated cytoplasmic 5S rRNA to the nucleolus for assembly into ribosomes. The encoded protein may also function to inhibit tumorigenesis through the activation of downstream tumor suppressors and the downregulation of oncoprotein expression. Mutations in this gene have been identified in patients with Diamond-Blackfan Anemia (DBA). This gene is co-transcribed with the small nucleolar RNA gene U21, which is located in its fifth intron. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed throughout the genome. [provided by RefSeq, Mar 2017]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL5&keywords=Rpl5#summaries,,https://omim.org/entry/603634?search=rpl5&highlight=rpl5,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPS10,Ribosomal Protein S10,6204,6p21.31,6,,,8616,165,,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 40S subunit. The protein belongs to the S10E family of ribosomal proteins. It is located in the cytoplasm. Variable expression of this gene in colorectal cancers compared to adjacent normal tissues has been observed, although no correlation between the level of expression and the severity of the disease has been found. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. Alternate splicing results in multiple transcript variants that encode the same protein. Naturally occurring read-through transcription occurs between this locus and the neighboring locus NUDT3 (nudix (nucleoside diphosphate linked moiety X)-type motif 3).[provided by RefSeq, Feb 2011]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10&keywords=Rps10#genomic_location,,https://omim.org/entry/603632?search=rps10&highlight=rps10,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPS19,Ribosomal Protein S19,6223,19q13.2,19,,6,12671,145,,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 40S subunit. The protein belongs to the S19E family of ribosomal proteins. It is located in the cytoplasm. Mutations in this gene cause Diamond-Blackfan anemia (DBA), a constitutional erythroblastopenia characterized by absent or decreased erythroid precursors, in a subset of patients. This suggests a possible extra-ribosomal function for this gene in erythropoietic differentiation and proliferation, in addition to its ribosomal function. Higher expression levels of this gene in some primary colon carcinomas compared to matched normal colon tissues has been observed. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS19&keywords=Rps19#summaries,,https://omim.org/entry/603474?search=rps19&highlight=rps19,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPS20,Ribosomal Protein S20,6224,8q12.1,8,Q,,7287,119,Protein Coding,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 40S subunit. The protein belongs to the S10P family of ribosomal proteins. It is located in the cytoplasm. This gene is co-transcribed with the small nucleolar RNA gene U54, which is located in its second intron. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. Two transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Apr 2009]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS20&keywords=Rps20#summaries,,https://omim.org/entry/603682?search=rps20&highlight=rps20,,,,,,,,,1,1,,,,,,Mono,,Cancer,,,,,,9,
RPS24,Ribosomal Protein S24,6229,10q22.3,10,,,23054,133,,Required for processing of pre-rRNA and maturation of 40S ribosomal subunits,,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS24,,https://omim.org/entry/602412,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPS26,Ribosomal Protein S26,6231,12q13.2,12,,,3347,115,,"40S ribosomal protein S26,12kDa",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS26,,https://omim.org/entry/603701,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
RPS7,Ribosomal Protein S7,6207,2p25.3,2,,,5661,194,,Required for rRNA maturation.,,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS7,,https://omim.org/entry/603658,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
SURF1,SURF1 Cytochrome C Oxidase Assembly Factor,6834,9q34.2,9,,,"4,919",300,,"Component of the MITRAC (mitochondrial translation regulation assembly intermediate of cytochrome c oxidase complex) complex, that regulates cytochrome c oxidase assembly.",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF1,,https://omim.org/entry/185620,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
TAZ,Tafazzin,6901,Xq28,,,,"10,203",292,,Some isoforms may be involved in cardiolipin (CL) metabolism,,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAZ,,https://omim.org/entry/300394,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
TCAP,Titin-Cap,8557,17q12,17,Q,,1206,167,,Muscle assembly regulating factor. Mediates the antiparallel assembly of titin (TTN) molecules at the sarcomeric Z-disk.,,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCAP,,https://omim.org/entry/604488,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
TMEM43,transmembrane Protein 43,79188,3q25.1,3,,,"18,675",400,,May have an important role in maintaining nuclear envelope structure by organizing protein complexes at the inner nuclear membrane. Required for retaining emerin at the inner nuclear membrane (By similarity).,,,,,,,,,,,,,,,,,,,,,1,1,,,Mono,,Cardiomyopathy,,,,,,,
TNNI3,"Troponin I3, Cardiac Type",7137,19q13.42,19,,,6007,210,,"Troponin I is the inhibitory subunit of troponin, the thin filament regulatory complex which confers calcium-sensitivity to striated muscle actomyosin ATPase activity",,,,,,,,,,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
TNNT2,"roponin T2, Cardiac Type",7139,1q32.1,1,,,18821,298,,"Troponin T is the tropomyosin-binding subunit of troponin, the thin filament regulatory complex which confers calcium-sensitivity to striated muscle actomyosin ATPase activity",,,,,,,,,,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
TPM1,Tropomyosin 1,7168,15q22.2,,,,29284,284,,"Binds to actin filaments in muscle and non-muscle cells (PubMed:23170982). Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction (PubMed:23170982). Smooth muscle contr",,,,,,,,,,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
TTC37,etratricopeptide Repeat Domain 37,9652,5q15,5,,,"93,226",1564,,Component of the SKI complex which is thought to be involved in exosome-mediated RNA decay and associates with transcriptionally active genes in a manner dependent on PAF1 complex (PAF1C),,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC37&keywords=TTC37#function,,https://omim.org/entry/614589,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
VCL,Vinculin,7414,10,,,,"126,171, 122,047",1134,Cytoskeletal,"Vinculin is a cytoskeletal protein associated with cell-cell and cell-matrix junctions, where it is thought to function as one of several interacting proteins involved in anchoring F-actin to the membrane. Defects in VCL are the cause of cardiomyopathy di",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCL&keywords=VCL#function,,https://omim.org/entry/193065,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
